"","BRAPROMANMISMEI","BSPRFT02BRM460S","BSCICP02BRM460S","BSCURT02BRM160S","INDPRMNTO01IXOBM","INDPRMNCG02IXOBSAM","CCRETT01INM661N","WPIAMP01INM661N","INDWPIAMP01GPM","BSCURT02MXM160S","MEXPROMANMISMEI","BSCICP02RUM460S","RUSPPDMMINMEI","TURPROMANMISMEI"
"1998-03",-0.00753689940332813,0.149,-0.155,0.00099999999999989,1.1652020052301,-0.0384962353254773,-0.0285514852064394,1.1268548190544,-0.00427953633692672,0.7390608888,0.013705257523124,-0.217284910233333,-0.00100001327706234,0.0223327197553724
"1998-04",0.012129522202299,0.174,-0.139,0.00200000000000011,1.5536026736401,-0.016830560968952,-0.00518032380494793,1.7229590379216,0.0116001243054763,0.73700288816,-0.00751466474038276,-0.26425691209,0.00199999744223422,-0.0910113457306472
"1998-05",0.0165694039182993,0.174,-0.135,0.005,1.2108962015136,0.000239058907435918,-0.00144739622485113,1.8536662752812,0.00234146288375928,0.74420979617,0.01106749352152,-0.215680645686667,0,0.0666625416266351
"1998-06",-0.0234751409533576,0.165,-0.135,0.00399999999999989,1.5764497717819,-0.00337922475603858,-0.0110395794046462,1.9408044335209,0.00146369887176515,0.73772299577,-0.0123034735339805,-0.27815492211,-0.000999992291965568,-0.0338028618508924
"1998-07",0.00902792357757765,0.157,-0.126,0.004,1.073813612663,-0.0430864102369301,0.0207316559803781,2.1784539559929,0.00450449306323608,0.73985493018,0.00442073754577121,-0.309392239573333,-0.00400001503068137,0.0126799875026129
"1998-08",-0.0160216396171459,0.178,-0.166,-0.00700000000000001,1.5307555754983,0.0520790007650911,-0.00198475077958216,2.24182716198541,0.00125234401642007,0.7348209502,0.00685371345159225,-0.268235933456667,0.0030000244474937,0.000418549999983142
"1998-09",-0.00211461196870366,0.175,-0.203,-0.00800000000000001,1.3479787903642,0.0543545216531738,0.0105263816797245,2.2279642731745,-0.00026731020265752,0.73583180004,-0.0101182755151884,-0.355739565903333,0.107999976829303,0.0250257523468371
"1998-10",-0.0331638058910781,-0.048,-0.305,-0.00700000000000001,0,0.0140895337735414,-0.0045254803717687,2.2933178918543,0.00121213116783396,0.73857377751,0.00922332893388433,-0.275793847186667,0.0700000006789667,-0.0334703784654472
"1998-11",0.0032876712328771,0.18,-0.232,-0.00299999999999989,1.9648504401919,0.0373512678465646,0.0100000376598743,2.1606302418075,-0.00263211879005983,0.73408513384,0.0004734716378334,-0.171738665933333,0.0430000144888538,-0.0317134089432856
"1998-12",-0.0418350628072103,0.18,-0.226,-0.00400000000000011,1.4165200847895,-0.0439834464832284,-0.0116288251117743,2.2873766537925,0.00225701179800238,0.72982581823,0.000591725421686062,-0.16346099215,0.0540000012573374,-0.02788509339381
"1999-01",0.0373917008663942,0.214,-0.216,-0.00399999999999989,1.98769753833371,0.0567256994994265,-0.0120367484460842,2.46363338295919,0.00328034196695464,0.72631124244,-0.00374215642955611,-0.159363795186667,0.0789999934966825,-0.0302090197797781
"1999-02",-0.0125274725274733,0.184,-0.211,-0.00100000000000011,1.5307555754983,-0.0465146313779329,0.0100481853544816,2.5349282397008,0.00138384721774182,0.72189154881,0.00772657510227792,-0.1420841016,0.0640000069900977,0.0621170156391406
"1999-03",-0.000333852659693323,0.177,-0.199,-0.00199999999999989,1.9876975383336,0.100165358003134,0.00756088980805769,2.6042426837551,0.00121335176545162,0.72518431028,-0.00685202700321053,-0.0971338542933334,0.0489999907656258,-0.0386357735124648
"1999-04",0.0165868863408671,0.136,-0.198,-0.00100000000000011,1.6906852624906,-0.0116443665188065,-0.000985119945186463,1.7229590379216,-0.0171772563113771,0.72834040006,0.0374428090799233,-0.0976786510233333,0.057000007189405,0.0864922625952906
"1999-05",0.0234340779675866,0.204,-0.147,0.00100000000000011,2.8558872677207,-0.0420804413983911,-0.00199095029695551,1.7586064662924,0.00041493142176366,0.71683355746,-0.00777594391987824,-0.04747257929,0.0349999908554872,-0.0308876448244552
"1999-06",-0.00909479991440232,0.226,-0.108,0,1.8277678513413,0.00370799857379156,-0.000125002515923955,1.4952115788861,-0.00511644349629835,0.72267933638,-0.00587434562068323,-0.03648644814,0.0320000004673189,0.0260656289168146
"1999-07",-0.0163049346722816,0.285,-0.058,0,2.2390156178931,0.025235828125117,-0.00367281587064827,1.2734053579121,-0.00423640067480537,0.72714312344,0.0118037946865777,-0.0357872206066667,0.0320000016981128,-0.0161086719489393
"1999-08",0.016904500548848,0.25,-0.053,0.00399999999999989,2.4217924030272,0.0223983140463071,-0.0146983491026732,1.3486610400283,0.00139139695309036,0.72300879982,-0.00254089121507539,-0.0318773894233333,0.0419999986287867,-0.0994887353909926
"1999-09",0.0140328151986182,0.246,-0.042,0.00400000000000011,2.1247801271843,0.00112681927799496,0.00934685039314065,1.554623959504,0.00380420550504749,0.7293549717,0.00489236873786125,-0.028838827,0.0449999965785404,0.060963406404573
