"","AUTPROMANMISMEI","LCEAMM01ATM661N","AUTPRMNCG01IXOBSAM","AUTPRMNCG02IXOBSAM","PIEAMP02BEM657N","BELPPDMMINMEI","BELPRMNCG02IXOBSAM","BELPRMNVG01IXOBSAM","BSSPFT02BEM460S","DNKPRMNCG02IXOBSAM","DNKPRMNIG01IXOBSAM","DNKPRMNVG01IXOBSAM","DNKPROMANMISMEI","DNKPIEAMP02GPM","DNKPIEAMP01GPM","PIEAMP01DKM661N","BSCICP02IEM460S","BSSPFT02IEM460S","IRLPIEAFD02GPM","IRLPROMANMISMEI","PIEAFD01IEM661N","IRLPIEAMP01GPM","BSCICP02NLM460S","BSFGLV02PLM460S","POLPROMANMISMEI","BSPRFT02PLM460S","ESPPROMANMISMEI","BSSPFT02ESM460S","BSPRFT02ESM460S","BSPRTE02ESM460S","ESPPIEAMP02GPM","SWEPROMANMISMEI","BSSPFT02SEM460S","BSCICP03SEM665S","BSPRFT02SEM460S","LCLCMM01SEM661N","SWESLMNTO02IXOBM","BSCICP02CHM460S"
"1997-03",-0.00152671767147217,1.5786607556044,0.0104575162851432,-0.0227497527046659,-0.0020939972080036,-0.0020939972080033,-0.0381441526964795,-0.0497930200341956,0.067,0.00380228136882144,-0.0108459869848153,-0.0165745856353597,-0.00665188470066624,0.00204359673024515,0.00208035366012208,0.00208035366012171,0.111,0.039,0.00211253793285274,0.061904761904763,-0.649060887512903,4.51627753836698e-05,0.014,0.022,-0.0241786014374104,-0.003,-0.0428740989778492,-0.026,-0.062,-0.025,0.00240862743077006,-0.0011723329425557,0.009,0.00166118454127084,0.168,3.8710163760971,-0.272422701891898,-0.1952
"1997-04",0.0229357798781606,1.0159101218382,0.0025873222164754,0.0192307692449847,0.0032641641408254,0.00326416414082487,0.00730019370958068,-0.0120708130136381,0.079,0.00378787878787867,0.0416666666666701,0.0235955056179782,0.0111607142857146,0.0105155672051854,0.0115479434280524,0.0115479434280521,0.201,-0.065,-0.000991940483571129,0.0089686098654691,-0.126646026831807,0.0101454481311829,0.008,0.112,0.0792495574538614,-0.022,0.172578470065554,0.035,0.016,0.082,-1.15683260773801e-05,0.0223004694835685,0.011,0.00159953105884703,0.223,1.5789672060396,11.1693307775648,-0.1945
"1997-05",-0.0403587443566862,2.4159493298832,-0.0219354839532738,-0.0178748759418642,0.00871485010457828,0.00871485010457773,0.00266252635733899,0.0185065059813265,0.088,0.0427672955974825,-0.00842105263158222,0.0186608122941823,0.00993377483443725,0.00407386542277759,0.00731144176500781,0.0073114417650082,0.184,0.081,0.00098105924949827,-0.00888888888888717,0.514499484004091,0.0070451296712272,0.02,0.154,-0.0542566038552611,0.011,-0.122360994768939,-0.013,0.082,0.003,-0.00121594626675538,-0.00459242250287084,0.001,0.00126791720075903,0.25,2.39391802206,1.5437286440536,-0.167433333333333
"1997-06",0.0373831775543176,0.076856605016701,0.0250659630962282,0.020222446976663,-0.00437737587835506,-0.00437737587835418,-0.0190862198920345,0.0152741184303333,0.055,-0.0458383594692366,-0.00106157112526206,0.0118534482758623,0.00874316939890707,-0.00403155158129877,-0.00725837259646006,-0.00725837259646045,0.189,0.023,-0.00299150236733561,0.0358744394618806,1.09232198142409,0.00798517371606861,0.025,0.01,0.0752016305152221,-0.033,0.0487746070980433,0.004,-0.017,0.063,0.00241448110343225,-0.00692041522491327,0.002,0.00308608130450505,0.279,1.833639336046,7.5370280856738,-0.157966666666667
"1997-07",0.00150150143309813,1.2182531210853,-0.0180180179597934,-0.0307234886307585,0.00763623741756325,0.00763623741756314,0.121330669227748,0.0485074141973452,0.083,0,-0.0286928799149879,0.00106496272630419,-0.0130010834236193,-0.0041850310491539,-0.00102616726526424,-0.00102616726526383,0.147,0.093,9.69467690419001e-07,0.0238095238095271,1.6147368421053,0.0100193739852064,0.047,-0.000999999999999997,-0.0403739896259397,0.015,0.00469592163020827,0.027,0.013,-0.034,0.00484335098456854,0.0278745644599301,0.001,0.00364032479837229,0.3,1.7827049100448,6.628952412701,-0.131866666666667
"1997-08",0.0374812594704474,1.7237485369225,0.043250327480334,0.111451942921466,0.0107934320817546,0.0107934320817538,-0.0740022558786155,-0.0438140079722471,0.117,0.02275600505689,-0.0164113785557988,-0.0691489361702138,-0.0252469813391879,0.00616661060657011,0.00629173086800216,0.00629173086800261,0.175,-0.181,0.00690347353665205,0.010570824524311,2.12923632610941,0.00496190121419218,0.048,-0.021,0.00378093804495339,0.005,0.0037050270622907,0.02,-0.024,0.023,0.0023694365817622,-0.00790960451977385,0.004,0.00280406736979133,0.281,2.5976557260651,3.0874572881073,-0.132966666666667
"1997-09",-0.0130057804499066,1.057022031781,-0.00502512553233359,-0.0441582337176285,-0.0021583551062138,-0.00215835510621343,0.0106903659785249,0.00524043754800374,0.131,0.0395550061804659,0.00333704115684097,0.0880000000000012,0.0259009009009012,-0.0031923383878691,0,0,0.117,0.038,-0.00294253410911302,0.0146443514644361,1.5434984520124,-0.0118969627106193,0.055,0.126,0.0421143428208346,0.08,0.00958206805810824,0.002,0.029,-0.00600000000000001,-4.33745202649299e-05,0.0102505694760822,0.003,0.00230774698107994,0.276,2.2411147440562,12.3498291524294,-0.0823
"1997-10",-0.00146412877674895,1.4127488066612,0.00252525247686308,-0.0404234842145423,-0.00102459016393444,-0.00102459016393419,-0.0136399707859538,0.00626198568717684,0.121,0.0392390011890607,0.0975609756097569,-0.0189075630252099,0.0395170142700325,-0.0010028972587473,0,0,0.208,-0.075,0.00485003880237671,-0.0144329896907227,2.50917440660471,0.0151469170922776,0.051,0.16,-0.008431341043308,-0.142,0.0420023998484094,0.00900000000000001,0.03,0.073,-0.00245360524230355,0.00563697857948098,0.002,0.00133880040175716,0.291,2.750459004069,8.98994916243021,-0.0492666666666667
"1997-11",0.0175953078226303,1.986567561368,-0.00125944589002602,0.0451354062472054,-0.00216524216524218,-0.00216524216524305,-0.0449299655158086,-0.0480132627432832,0.159,0.0251716247139624,0.0101010101010071,0.0406852248393998,0.0253431890179516,-0.00412716118237601,-0.0040831951001659,-0.00408319510016641,0.245,0.045,-2.93207232780801e-05,0.0460251046025093,2.6437358101135,0.00408830744071946,0.039,0.103,0.0276009379984425,-0.015,-0.0304119536824222,0.00599999999999999,0.00100000000000003,-0.00899999999999998,-0.00119710387400121,0,-0.00100000000000001,0.000198401659533554,0.318,2.6485901520665,5.63006917243111,-0.0555
"1997-12",0.0432276658230439,1.6481646353836,0.0554854981762345,0.0537428027006941,-0.00753768844221096,-0.00753768844220948,0.0543680447175634,0.0605957345557158,0.119,0.0189732142857109,-0.0349999999999939,-0.001028806584362,-0.00514933058702327,-0.00617517325404787,-0.0052530429212043,-0.00525304292120377,0.179,-0.013,-0.00091102743966125,-0.0180000000000002,2.70705882352939,0.00785464167721712,0.048,-0.014,0.00722841638222604,0.139,0.0035939931063329,0.03,-0.074,0.017,-0.00358149624569053,0.0257847533632285,-0.000999999999999994,-0.000791771597360991,0.351,2.39391802206,9.3531794316193,-0.0589333333333333
