"","IRSTCI01CAM156N","CPGRLE01FRM657N","NBDEBIS","CSINFT02DEM460S","CPGRLE01DEM657N","IRSTCI01DEM156N","TRESEGDEM052N","DEULOCOSINOSTSAM","DEULOCOSIORSTM","CCRETT01GBM661N","CCUSSP01GBM650N","IRLTLT01GBM156N","CUSR0000SAD","PCU311212311212","PCU212210212210","DPCCRC1M027SBEA","MICH","EMVMACROINFLATION","PCU212322212322","CUSR0000SETB01","PCU311311","HQMCB100YR","HQMCB10YRP","HQMCB1YR","BAMLC0A2CAAEY","BAMLH0A3HYCEY","BAMLHYH0A3CMTRIV","DTP30A29","CPN3M","EMVMACROINTEREST","M2REAL","T3MFFM","T10Y2YM","T10Y3MM","T6MFFM"
"1999-06",2.79999999999933e-05,-0.000399672762659873,-0.0102699841185813,0.015,-0.00053716237468413,0.025632,0.0138090799931425,1.04109469664679,0.0049527619,0.0478673372499969,-0.0182645555417031,0.002648,0.00238410729936178,0.000939849624060018,0,0.00465875534197835,-0.002,1.96496,3.09999999999999,-0.00923076923076926,0.200000000000003,0.0798,0.0044,0.0035,0.00388073593073593,0.184795454545455,-0.00882709854865782,0.000567207792207799,0.00170000000000001,1.92928,0.0048852701702442,0.004,-9.99999999999994e-05,0.0027,0.0027
"1999-07",0.000156999999999997,-0.00043496382731835,-0.000855798031664468,-0.027,-0.00017212882730574,0.025209,0.0274746932642638,1.4559523315551,0.00855081027,-1.24803619441201,0.0280017778906598,0.002005,-6.32388670984696e-07,-0.00657276995305167,0,0.0027932450935646,0.001,-0.585360000000001,3,0.0424430641821947,-0.299999999999983,0.0798,-0.000700000000000006,-0.000300000000000002,-0.000591501976284575,0.180491304347826,0.00713443437954853,0.000536363636363633,0.0013,-0.13295,0.00184148497348269,0.0015,-0.000400000000000001,-0.000799999999999999,-0.0024
"1999-08",0.000114999999999997,-0.000198322692146261,0.00802997858672372,-0.048,-0.000485911842951644,0.024427,0.000874475585454615,1.8064393546409,0.01258852814,-0.554735850915009,-0.00945027794935149,0.000591000000000001,-6.31384082350195e-07,-0.00189035916824198,0,0.00710020390329169,0.004,-3.39989,3,0.0536246276067527,0.0999999999999801,0.0819,0.0025,0.0021,0.00264604743083004,0.177031818181818,-0.0219915281035205,0.00027727272727273,0.00139999999999999,-0.57292,0.00136019410337496,0.0031,2e-04,-3e-04,2e-04
"1999-09",-0.000442999999999992,0.0007582695788986,-0.00584174190122155,0.0380000000000001,-0.00130391291736531,0.024336,-0.0165918597104264,2.0534098171324,0.01742845454,1.035100973735,0.0266882833447653,0.002597,-6.30381885358133e-07,-0.0208333333333333,0,0.00806247514371439,0.004,-6.9653,3,0.0358152686145148,1.00000000000001,0.084,-0.000600000000000003,5e-04,-9.54545454545513e-05,0.184713636363636,-0.0274520759230696,0.000485227272727276,0.000700000000000006,-11.5706,-0.000660817210617171,0.0037,0,3e-04,-0.0014
"1999-10",0.000270999999999993,-0.000889813403039968,0.00747863247863245,0.019,-0.000383093654589928,0.025019,-0.0197732136950616,2.1695170607733,0.01422135497,4.43817186115299,-0.00759186152444591,0.001892,-0.000793650793650791,-0.051257253384913,0,0.00446524639552415,0.004,1.41914,3,-0.0009099181073704,0.5,0.0853,0.0016,0.00199999999999999,0.00135454545454546,0.184145454545455,-0.0278143016081723,0.000724404761904753,0.00559999999999999,-6.82197,0.00341647992358851,0.0082,-9.99999999999998e-05,-0.000100000000000001,0
"1999-11",0.00165700000000001,-0.000254024225183161,-0.0133616118769883,-0.053,0.00278963784872922,0.029355,-0.0244785340223856,2.1682164098645,0.0108182381,4.923037640565,-0.024173806609547,-0.005656,-0.00237906423473433,-0.0254841997961264,0,0.00876582221984168,0.006,-0.17416,3,-0.01183970856102,-0.400000000000006,0.0817,-0.00169999999999999,0.000600000000000003,-0.00109545454545454,0.197740909090909,0.00351227632126494,-0.000232359307359306,-0.000699999999999999,-5.6446,0.00234312074394083,0.0011,-8e-04,-0.0029,1e-04
"1999-12",-0.000127999999999996,0.00050449406376792,-0.010640584694755,0.047,7.574116107711e-05,0.030418,0.0389991148707278,2.06422392455811,0.01218119048,5.292319621462,0.0137347130761996,0.000745000000000003,-5.67344412094606e-06,-0.0115062761506276,0,0.00927367973948767,0.005,-1.54747,3,0.0516129032258064,0.100000000000009,0.0822,0.00219999999999999,0.0023,0.00188596837944664,0.198239130434783,0.00766311018925725,0.000995454545454549,0.000600000000000003,-1.96896,0.00357951640002918,0.0024,9.99999999999998e-05,0.0012,0.0038
"2000-01",0.000113999999999989,0.00250159581604643,0.000977729494839874,0.035,0.00215227604722948,0.030429,-0.0232194453433976,1.84047083750021,0.0162652381,7.288396652983,0.00451620885919324,0.004337,0.000791112180847264,-0.0126984126984128,-0.00425985090521841,0.00534824998246486,0.003,-0.06426,3,0.0157756354075373,-0.5,0.0814,0.00360000000000001,0.00180000000000001,0.00359130434782608,0.206119047619048,-0.00706983628369096,0.00127891156462585,-0.0013,-0.653300000000002,0.00313000436744781,0.0023,4e-04,0.0024,0.0031
"2000-02",0.00201400000000001,-0.00444275495183094,-0.00792272628608648,-0.061,-0.00234978960902545,0.032757,-0.00102147624617133,1.4685350474756,0.01216171429,5.646437504517,-0.0190921968343906,-0.00188000000000001,-2.54369592656012e-06,-0.007502679528403,0,0.0116163466066663,0.004,1.44712,3.29999999999998,0.0336496980155305,1.3,0.0799,9.9999999999989e-05,0.00169999999999999,0.000128571428571436,0.204085714285714,0.0205899082528973,-0.0017015306122449,0.0013,2.33292,-0.00130614614324065,0.002,-0.0031,-0.0037,0.0027
"2000-03",0.002772,0.00099329384373043,-0.00918936659008862,0.025,-0.00060713560644442,0.035104,0.0362781801830507,0.963979482934008,0.00594917391,3.198694131075,0.00150687511772452,-0.00263999999999999,0.00479361124029754,-0.0172786177105831,0,0.00784496284418701,0.005,1.2734,3.09999999999999,0.111853088480801,0.400000000000006,0.0823,-0.000799999999999995,0.000700000000000006,-0.000119875776397521,0.2061,0.0106993416913808,-0.000816511387163557,0.0013,2.80451,0.000690256484778162,0.0025,-0.0018,-0.0039,0.0026
"2000-04",0.000100000000000003,-0.00225390668093717,-0.00706635751352525,-0.043,0.0020157081208452,0.03685,-0.0655503916246583,0.373035228335908,0.00146755556,4.74182513792699,-0.0169268384427308,-0.000494000000000008,-0.00399425479536686,-0.00879120879120876,0.00534759358288772,-0.00171074691210182,0.005,6.85387,3.29999999999998,-0.057057057057057,1.99999999999999,0.0832,-0.000799999999999995,0.000599999999999989,-0.000847981366459624,0.204082142857143,-0.0219040865715013,-0.00188336956521739,0.0011,7.16166,0.0124523506988565,0.0013,-0.0014,-0.0023,5e-04
"2000-05",0.004943,0.000571071598331782,-0.00989658623373735,-0.001,-0.0043968331902089,0.0392,0.0183224323177789,-0.2516451939956,-0.00416923445,1.941242703969,-0.046744467827307,0.000820000000000001,0.00398660541248064,-0.00554323725055428,0,0.00435274359941062,0.002,4.35378,2.29999999999998,-0.0159235668789809,0.200000000000017,0.0862,0.0055,0.00360000000000001,0.00474363354037267,0.208947826086957,-0.014644192631354,0.000786630434782602,0.0043,8.52042,-0.00430292598967297,-0.0017,0.000399999999999999,0.0028,0.0012
"2000-06",-2.90000000000012e-05,0.000944715810350629,0.018418688230009,0.093,0.00077404841633634,0.042945,0.0133874222936277,-0.852313080244798,-0.01044112554,-1.448870830822,0.0116403532245117,-0.001936,-0.00557453034233202,-0.0256410256410257,0,0.00213281463281456,0.004,-1.52252,2.5,0.093851132686084,-0.600000000000009,0.082,-0.0035,-0.00219999999999999,-0.00290434782608696,0.224804545454545,-0.0183909616940009,-0.00054140316205533,0.000300000000000009,0.36972,-0.00205272255834066,-0.0063,-9.99999999999998e-05,-0.0021,-0.0029
"2000-07",-0.000229,0.00079765630829686,-0.00363917071018982,-0.06,0.00045811635205715,0.043086,-0.0492996622325368,-1.3762497906787,-0.0131657316,0.510202676489001,-0.0092580346515011,0.000291000000000007,0.00158792492985138,-0.0045766590389017,0,0.00444383906832613,0.003,-0.741289999999999,2.70000000000002,-0.011094674556213,0.0999999999999943,0.0804,-0.000899999999999998,-0.000700000000000006,-0.00102857142857142,0.217547619047619,-0.00267755892540877,-0.000575108225108228,-0.000500000000000014,-0.85388,0.000757821803615943,-0.001,9e-04,-0.0033,-0.0027
"2000-08",0.000243,0.00030626963807066,-0.0147205312672939,-0.026,-0.00038249538105464,0.044191,-0.038213843649535,-1.79380878847219,-0.01750756126,1.12582038844801,-0.0287011079962621,0.000923999999999994,-6.35416865346627e-07,0.00574712643678166,0,0.00608536461335052,-0.000999999999999997,-2.52277,2.70000000000002,-0.0553477935676888,-1.60000000000001,0.0813,-0.0016,-0.000799999999999995,-0.000980124223602497,0.223930434782609,-0.00613927125977265,0.000134989648033129,-0.000299999999999995,-4.89801,0.00587768642723208,-2e-04,-0.0011,-0.0036,-0.0015
"2000-09",-8.50000000000087e-05,0.000729698761580198,-0.0112334306897326,0.0519999999999999,7.334579471858e-05,0.045905,0.0611724203687993,-2.08767348156699,-0.01903221212,-1.70046699952701,0.0102391423859263,0.000560999999999999,0.000797448165869241,0.00457142857142867,0,0.0116590568294779,0.002,-3.63067,2.70000000000002,0.0625494853523356,-0.899999999999991,0.084,-0.000100000000000003,-0.001,-0.000836758893280623,0.224086363636364,0.00426367492785507,0.000501915113871633,-0.000200000000000006,-3.47018,0.00218677182290739,6e-04,0.0012,0.000700000000000001,-0.0027
"2000-10",8.50000000000087e-05,0.00130137871904353,-0.00533969552374458,0.00600000000000006,0.000781909336235896,0.047627,-0.044530150113538,-2.26545746117679,-0.01750838095,0.607483394886998,-0.0145568328685123,-0.00169399999999999,-0.000798084596967286,0.0034129692832765,0,0.000932633857939846,0.003,-2.99105,2.70000000000002,-0.0119225037257824,0.199999999999989,0.0855,-0.000200000000000006,-0.000800000000000009,-0.000990909090909084,0.241677272727273,-0.0335193623811719,-0.000316341991341992,0.000399999999999998,-2.73042,0.00157390184575767,-4e-04,0.0011,-0.0017,-0.0019
"2000-11",-1.40000000000001e-05,0.0010082778886951,0.00342661336379213,0.037,-0.0030394754751601,0.048291,0.020832703610711,-2.35396425253531,-0.01510663636,-1.065034422613,-0.0191896182784566,-0.001196,0.00159680664169559,0.00907029478458043,0,0.00204655496580752,0,1.67787,2.70000000000002,-0.00603318250377061,0.500000000000028,0.0853,-9.9999999999989e-05,0.000100000000000003,-0.000454545454545471,0.256922727272727,-0.0505041586466297,-0.000468181818181819,-9.9999999999989e-05,1.60589,0.000535714285714306,4e-04,1e-04,-9e-04,-0.0017
"2000-12",0.000499999999999994,-0.00050185825916976,0.0191235059760957,0.005,0.00900730656361505,0.048268,0.00996816276654644,-2.372321230376,-0.01750292732,-2.426498916212,0.0501794637201773,-0.001865,0.000797447149206265,-0.00674157303370782,0,0.00190953772582358,-0.002,5.17551,2.80000000000001,-0.00986342943854335,1.19999999999997,0.0859,-0.004,-0.0033,-0.00426931818181818,0.283242045454545,-0.0639367014450706,-0.00100119047619047,-0.0016,9.4158,0.00685347135463132,-0.0052,5e-04,-0.000599999999999999,-0.0048
"2001-01",-0.003086,-0.000239215655361,0.0215570199932982,-0.021,-0.00480572703158612,0.047559,-0.0186907448322456,-2.3030749103105,-0.02163941992,-5.878336504229,-0.0192333467363623,-0.000647000000000002,-0.00159616919393457,-0.0135746606334842,0.00638297872340421,0.00764016639321174,0,-1.50213,5.20000000000002,0.000766283524904265,0.700000000000017,0.0827,-0.0023,-0.0079,-0.00359629446640317,0.277223913043478,0.0284147767529177,-0.00111511387163561,-0.00849999999999999,2.52773,0.00453788066791927,-0.0074,0.0051,0.0057,-0.0083
"2001-02",-1.39999999999932e-05,0.00198661264328208,-0.00481084627159412,0.019,0.0038274102820574,0.049925,-0.0169865535416601,-2.11481903475401,-0.01950071429,-5.996602066599,-0.0105910488554835,-0.000223000000000001,0.00159362549800801,-0.00229357798165142,0,0.00315789473684203,-0.001,-2.2494,5.40000000000001,-0.0107197549770292,0,0.0821,-0.00100000000000001,-0.0023,-0.00159347826086956,0.230325,0.0480332075959835,-0.00113119565217391,-0.00350000000000001,-1.98495,0.00543497441326979,-0.0048,4e-04,0.0022,-0.006
"2001-03",-0.00497300000000001,-0.00082117491923733,0.00175785541639217,-0.018,0.00058704539533681,0.047814,-0.026739542597477,-1.8080038471698,-0.01626916205,-4.985502090625,-0.0155386740331491,-0.001218,-0.00398026034287668,-0.0195402298850575,0.007399577167019,-0.000360703043022048,-0.004,-0.819590000000001,6.09999999999999,-0.0278637770897833,0.799999999999997,0.0829,-0.00209999999999999,-0.00339999999999999,-0.00249347826086957,0.229452173913043,0.00507552007109435,-0.000597954545454547,-0.00359999999999999,0.14513,0.0109866966197478,-0.0078,0.0011,0.0026,-0.0087
"2001-04",-0.00248499999999999,0.0035356644808428,-0.00252248300065805,0.021,0.00169623991857111,0.050642,-0.0250516316586349,-1.40858323438391,-0.01154360819,-5.672449443723,0.00441950192914775,0.002438,0.000791738513130191,-0.0175849941383353,0,0.00182056749220938,-0.001,-7.05861,6.70000000000002,0.019904458598726,0,0.0855,0.0018,-0.0025,0.000786335403726711,0.260257142857143,-0.047976756984235,0.00112878787878787,-0.0034,-4.00225,0.0108673008818834,-0.0063,0.0036,0.0082,-0.0081
"2001-05",-0.000742000000000007,0.000310373621735883,-0.0109950522264981,0.0630000000000001,0.00247441913578369,0.046536,-0.00965958343686169,-0.959630134600104,-0.00606063636,-3.033761719023,-0.0101271127252409,0.00168500000000001,-0.0015999918471753,-0.00954653937947492,0,0.00497699775707661,0.002,-4.90686,7.10000000000002,0.0936768149882905,-0.300000000000011,0.0832,0.001,-0.00260000000000001,0.00030062111801242,0.2421,0.0206386041466751,-0.00102572463768116,-0.0051,-7.83818,-0.00563283530826042,-0.0023,0.0022,0.0052,-0.0047
"2001-06",-0.001765,-0.000702260683286631,-0.00833796553640909,0.0179999999999999,5.12643614804698e-05,0.045395,-0.00811545651133472,-0.505166401268696,-0.00143263636,0.300337294833,-0.00931348338389903,0.000797999999999993,0.00159232407634968,-0.00120481927710836,0,0.00485460617414679,0.001,-2.85311,7.80000000000001,-0.0214132762312634,0.199999999999989,0.0812,-0.0014,-0.0023,-0.00169802371541502,0.248977272727273,-0.0195530909648972,-8.61801242236018e-05,-0.00260000000000001,-3.42451,0.00563020275638149,0.0027,0.000700000000000001,0.000200000000000002,-0.0041
"2001-07",-0.00252100000000001,0.0012745604710255,0.00717488789237675,-0.0609999999999999,-0.00163214914710154,0.045055,0.0127484731936398,-0.0702371301632922,-0.00134481385,0.199495387924998,0.0153835196923298,8.60000000000097e-05,-2.57233403289092e-06,-0.00844390832328112,0,0.00304784138255276,-0.004,-1.919,7.59999999999999,-0.102844638949672,0.300000000000011,0.0807,-5e-04,-0.000700000000000006,-0.000672727272727269,0.258077272727273,-0.0234490061125283,0.000126298701298697,-0.000799999999999995,-0.95446,0.00745345881706383,0.0022,0,-6e-04,-0.0021
"2001-08",-0.000734999999999993,0.00073886908370018,0.0171415850400711,0.0259999999999999,0.00136247696389647,0.044913,-0.00159825838638827,0.350331093989595,0.0003707826,-2.10582928915001,0.0240583572981694,-0.002183,-2.58060520363923e-06,-0.0182481751824818,0,0.00806516784923472,0,-1.67452,7.59999999999999,-0.0219512195121951,1.30000000000001,0.0807,-0.0023,-0.00309999999999999,-0.00290316205533597,0.247373913043478,0.0301967962484471,-0.00058033596837944,-0.0017,-0.86164,0.0065118816269476,1e-04,9.99999999999994e-05,-0.0012,-0.0026
"2001-09",-0.006821,-1.71535094974698e-05,0.00525279054497707,-0.0189999999999999,0.00216461349586051,0.039865,0.0444054477595472,0.760620341190489,0.00419566667,0.377360021754001,0.006986301369863,2.19999999999942e-05,-0.000807741895397451,-0.00991325898389095,0,-0.0209395542728876,-0.001,4.89554,5.69999999999999,0.0881130507065671,0.0999999999999943,0.0863,9.9999999999989e-05,-0.00480000000000001,-0.00235766045548655,0.265830952380952,-0.0619211487529215,6.26086956521735e-05,-0.0061,7.59639,0.0172075062665131,-4e-04,0.004,0.0051,-0.0036
"2001-10",-0.007446,0.00108534509279251,0.000326583932070523,0.0449999999999999,0.00174602802998833,0.039713,0.0214282940930541,1.14910728583909,0.0083382236,-3.05723468047299,-0.00993062168412462,-0.00162299999999999,0.00241545893719808,-0.0225281602002505,0,0.0362734180531901,-0.022,-1.20447,5.69999999999999,-0.106187929717341,-0.599999999999994,0.0827,-0.00249999999999999,-0.0048,-0.00366842650103519,0.27795652173913,-0.0621168453434433,0.00016673913043478,-0.0053,1.94059,0.000699300699300576,-7e-04,0.0023,0.0033,-0.0032
"2001-11",-0.001457,-0.00119654688011422,-0.00957666775492427,-0.016,-0.00032303916554879,0.035073,-0.0148765295257876,1.49532254646651,0.01000390909,-1.20125068620001,-0.0206787579005221,-0.001982,0.000807102502017765,-0.0179257362355952,0,-0.000237045465320218,-0.025,-3.95646,5.39999999999998,-0.11025641025641,-1.80000000000001,0.0779,-0.00120000000000001,-0.0021,-2.07509881422901e-05,0.2613,0.0584669230416417,-0.00141946640316205,-0.0031,-1.13092,0.00875178862600245,-3e-04,0.000300000000000002,0.0037,-0.0017
"2001-12",-0.003511,0.00141762083890691,0.00274695088451815,0.00200000000000011,0.000281272894602,0.033389,-0.0542853710027305,1.78117605630899,0.01439656037,-0.297557980161002,0.017467555243774,0.00265699999999999,-0.000807102502017765,-0.0104302477183833,0,-0.00248166413758222,-0.01,-5.47831,5.40000000000001,-0.0470701248799231,-1.5,0.0759,0.00340000000000001,0,0.00279870129870129,0.269552380952381,0.0186264566138599,0.00222272727272727,-0.0019,-7.97548,0.0104242264300323,0.0036,0.0011,0.0063,0
"2002-01",-0.002521,0.00389345027910625,-0.00295857988165693,-0.104,0.0006852877116566,0.032936,0.0278171434180017,1.98137408240549,0.01491445455,1.921610342363,-0.0257170435741864,0.000242999999999993,-0.00645161290322582,-0.00395256916996067,-0.0094438614900314,0.00478552300061796,-0.011,-0.89591,2.69999999999999,0.0131048387096775,-0.900000000000006,0.0736,-0.00100000000000001,-0.0013,-0.00135621118012422,0.267823913043478,0.0170487241281641,-0.00028804347826087,-0.000799999999999999,-4.61931,0.00205680705191003,0.0064,0.000299999999999998,-0.000100000000000003,4e-04
"2002-02",2.99999999999953e-06,0.00013786205193888,-0.0042861852950874,-0.052,0.00035123948400679,0.03283,0.00100948453712446,2.08461132391001,0.015407,2.825770320312,0.00261835680418931,8.00000000000037e-05,-0.000853581901969047,-0.0145502645502644,0,0.00548817991136907,-0.007,-0.93567,2.70000000000002,-0.00796019900497513,0,0.073,-0.000700000000000006,0.0023,-5.52173913043463e-05,0.25827,-0.027444842085791,-0.000201956521739127,0.000899999999999998,-3.30558,0.00368162121656401,0.005,-0.0012,-0.0021,0.0012
"2002-03",7.00000000000006e-06,0.00126712864980955,0.000551876379691008,-0.0639999999999999,0.00235143080766963,0.03264,-0.0164822114912848,2.0834528476658,0.01811072727,1.07568262929099,0.00451722190852633,0.002951,0.00403454885261934,-0.0281879194630872,0.00105932203389814,-0.000564643882240312,-0.000999999999999997,-2.73041,2.20000000000002,0.0812437311935807,-1,0.0759,0.00260000000000002,0.003,0.00406575757575758,0.251951515151515,0.0137500322922319,0.00040309523809523,0.000700000000000003,-5.23777,-0.000681685385963693,0.0087,-0.0017,0.003,0.0033
