"","RBARBIS","ARGCCUSMA02STM","IRSTCB01BRM156N","IRSTCI01BRM156N","TRESEGBRM052N","IRSTPI01INM156N","INTDSRINM193N","IRSTCB01INM156N","IRSTCI01INM156N","TRESEGINM052N","CCUSSP01TRM650N","INTDSRTRM193N"
"1996-12",0.00328465533312627,0,0.2534,0.2534,8716935206.7812,0,0,0,0,2248349592.5499,-0.0575272558571088,0
"1997-01",0.00977746316860606,0,0.2505,0.2505,5979811708.2005,0,0,0,0,3506091053.1307,-0.0677709540697178,0
"1997-02",0.015422362425517,0,0.2446,0.2446,4082065069.506,0,0,0,0,3686599245.4748,-0.0507041097015232,0
"1997-03",-0.000431480842250531,0,0.2387,0.2387,3712162535.5303,0,0,0,0,5227509830.2136,-0.0437360135055557,0
"1997-04",-0.00461883795217122,0,0.2358,0.2358,-467693730.928497,-0.00499999999999998,-0.01,-0.01,-0.01,5583727157.9362,-0.0563150679856249,0
"1997-05",-0.00455353658007729,0,0.2358,0.2358,264404462.941505,0,0,0,0,7045678116.2923,-0.0364142658241405,0
"1997-06",0.00309314280735395,0,0.2358,0.2358,-2120636541.4948,-0.005,-0.01,-0.01,-0.01,7741349591.8033,-0.0539700766658779,0
"1997-07",0.0112920738327904,0,0.2358,0.2358,1346157041.83041,0,0,0,0,8005328269.8394,-0.0691628155553468,0.17
"1997-08",0.0133132918187675,0,0.2358,0.2358,4153625139.2242,0,0,0,0,8494370463.0133,-0.0407997105120317,0
"1997-09",-0.00623013350286072,0,0.2358,0.2358,3839711964.3692,0,0,0,0,7221595043.6547,-0.0450382998329772,0
"1997-10",-0.00447799385875125,0,0.245,0.245,-4223779134.3017,0,-0.01,-0.01,-0.01,7010324784.9317,-0.0389926663899274,0
"1997-11",0.00102814548258578,0,0.4644,0.4644,-7634438462.3306,0,0,0,0,4956798306.4523,-0.0681331717255068,0
"1997-12",0.0216116745838149,0,0.4509,0.4509,-7460438800.4408,-0.01,0,0,0,4518157788.9072,-0.0570025048028984,0
"1998-01",0.0188924262734584,0,0.429,0.429,-5128777173.0331,0.015,0.02,0.02,0.02,4634790593.0073,-0.042383735823573,0
"1998-02",-0.00259014101878874,0,0.42,0.42,-1052763882.2711,0,0,0,0,4343758495.1372,-0.0626282471076175,0
"1998-03",-0.00280296784831002,0,0.3854,0.3854,9966259625.2704,0,-0.005,-0.005,-0.005,3596522192.5739,-0.0543525380343907,0
"1998-04",-0.00334821428571419,0,0.3655,0.3655,19155120144.025,-0.005,-0.00499999999999999,-0.00499999999999999,-0.00499999999999999,3562434219.4097,-0.0273271223194943,0
"1998-05",-0.00302766372195273,0,0.333,0.333,13986634638.3812,-0.00750000000000001,-0.01,-0.01,-0.01,1393184311.8794,-0.0293699206797763,0
"1998-06",0.0104001996838339,0,0.2941,0.2941,13862628781.0261,0,0,0,0,-1405121466.1995,-0.0337639349201548,0
"1998-07",0.00609354413702246,0,0.278,0.278,9223420457.3921,0,0,0,0,-2008451271.3753,-0.0162646808195337,0
"1998-08",0.00638402357177914,0,0.2575,0.2575,4052870337.7657,0,0,0,0,-1680635426.1447,-0.0244863292191484,0
"1998-09",-0.0124837345478204,0,0.4234,0.4234,-16597122224.2095,0,0,0,0,472850123.515099,-0.000686230248305719,0
"1998-10",-0.0192711550339716,0,0.4975,0.4975,-11748442337.0862,0,0,0,0,424381606.760399,-0.0311264303460838,0
"1998-11",0.00356887937187733,0,0.4488,0.4488,-11210105959.9756,0,0,0,0,2250387956.8111,-0.057144742485731,0
"1998-12",-0.00200820015061509,0,0.3941,0.3941,-8164752015.0943,0,0,0,0,2652410288.8971,-0.0361694820392793,0
"1999-01",0.0678292948771695,0,0.3825,0.3825,-19209042598.9498,0,0,0,0,2964558440.6845,-0.0511129953561071,0
"1999-02",0.0745524497487435,0,0.41,0.41,-24302779670.0554,0,0,0,0,4118997904.0286,-0.0573331930060093,0
"1999-03",-0.00584560301048542,0,0.46,0.46,-36429452201.8686,-0.00750000000000001,-0.01,-0.01,-0.01,3932999183.4406,-0.0453744409657072,0
"1999-04",-0.0338833559957371,0,0.32,0.32,-31937356865.7085,0.0025,0,0,0,3724839940.0489,-0.0540493333093593,0
"1999-05",-0.00665677659857733,0,0.235,0.235,-29924762963.7643,0,0,0,0,5413998144.3403,-0.0402028509582905,0
"1999-06",0.0190319368920886,0,0.21,0.21,-31045389387.6886,-0.0025,0,0,0,6914604516.3647,-0.0350469846556438,0
"1999-07",0.00518582541054458,0,0.195,0.195,-28504325636.4624,0,0,0,0,7095350869.6157,-0.0154838498129809,0
"1999-08",-0.00269168940894993,0,0.195,0.195,-26447523021.4625,0.0025,0,0,0,6161849164.8827,-0.0384216061852919,0
"1999-09",-0.00288638152715814,0,0.19,0.19,-3329687866.4129,0,0,0,0,4674082875.5694,-0.0336803069443358,0
"1999-10",0.000864661654135457,0,0.19,0.19,-2306628589.14021,0,0,0,0,4268485737.892,-0.0396534787969953,0
"1999-11",-0.00353078165496001,0,0.19,0.19,1105540417.6813,0,0,0,0,5070995882.4157,-0.0707714537075337,0
"1999-12",-0.01236382826341,0,0.19,0.19,-7885428328.5776,0,0,0,0,5326017458.4306,-0.0489268562984869,-0.0700000000000001
"2000-01",-0.00217548948513413,0,0.19,0.19,3073323088.0869,0,0,0,0,4839364716.9893,-0.0318779315018791,0
"2000-02",0.00344247246022023,0,0.19,0.19,4520849301.8769,0,0,0,0,4998764315.2147,-0.0247787024184012,0
"2000-03",-0.0133795837462835,0,0.185,0.185,6954972236.1203,0,0,0,0,5526313088.2649,-0.027213907898177,0
"2000-04",0.00533168488969582,0,0.185,0.185,-14093454204.9816,-0.005,-0.01,-0.01,-0.01,5366623176.0403,-0.0348672340341922,0
"2000-05",0.0212136351408478,0,0.185,0.185,-14423813518.7783,0,0,0,0,3767814478.0785,-0.0088441865295712,0
"2000-06",-0.0186279306062547,0,0.175,0.175,-11911054540.228,0,0,0,0,3223931019.6736,-0.00542941438504152,0
"2000-07",0.001303780964798,0,0.165,0.165,-11824744661.0478,0,0.01,0.01,0.01,2514051086.9511,-0.0274046144234537,0
"2000-08",0.00455729166666674,0,0.165,0.165,-9392982476.3129,0.005,0,0,0,2154856645.3613,-0.0274463225774916,0
"2000-09",0.00884449696923495,0,0.165,0.165,-10667828207.1419,0,0,0,0,2073742172.9128,-0.0186774053882365,0
"2000-10",0.0139817858897329,0,0.165,0.165,-9270080626.1337,0,0,0,0,1460843187.2558,-0.0246094001157315,0
"2000-11",0.00458390787463214,0,0.165,0.165,-9164170777.4454,0,0,0,0,4923662476.2816,0.000857043405002589,0
"2000-12",-0.0110921501706485,0,0.1575,0.1575,-2845339692.7804,0,0,0,0,5235502603.8689,0.0153864431194655,0
"2001-01",-0.0114791611959335,0,0.1525,0.1525,-1471310346.0246,0,0,0,0,6391726069.1247,-0.00689759933457135,0
