"","ARGXTEXVA01GPSAM","IMP3570","XTEITT01BRM156S","EXP3510","BRAXTEXVA01NCMLM","XTEXVA01BRM657S","XTIMVA01BRM657S","IMP3510","BRAXTIMVA01NCMLM","XTEITT01CNM156S","XTEITT01INM156S","EXP5330","XTEXVA01INM657S","IMP5330","XTIMVA01INM657S","MEXXTIMVA01NCMLM","IMPMX","RUSLOCOBXNOSTSAM","XTEXVA01RUM657S","RUSXTEXVA01NCMLM","TURLOCOTXORSTM","TURXTIMVA01CXMLM","TURLOCOMGORCXMLSAM"
"1993-08",-0.0109868590929879,-23.2,0.24086032568122,85,119302690.039266,0.00777084432015105,-0.161234259096037,52.9000000000001,8520603.44152918,0.83456930926746,0.926748175361561,171.1,-0.0737801363933138,57.5000000000001,-0.0377872876013864,1033284411.953,161.6,0.000509686391101383,0.0332258188428686,501326266.670871,0.085,728729417.01106,-0.0318815256537319
"1993-09",0.138515725658793,7.3,0.0919658916256099,70.2,158218631.627614,0.0293521006891614,-0.0325932424019467,148.6,22051399.2770181,0.922152111254633,0.890453655559331,79.1,-0.0518784803014139,-36.7,-0.0132334423965442,665782357.514502,465,0.000316385228340099,0.0428695752157347,536096530.409003,0.101,443404294.91417,0.0291610042400716
"1993-10",-0.0175636402419567,-13.8,0.0788416687229601,81.6,202012996.577968,-0.00276111895661987,-0.0516855836257162,120.4,28242475.3373713,0.869813879980521,0.992869977113486,-18,0.113696420221404,-12.9,-0.00118336597044849,-240164378.841396,349.8,0.000161041274863383,-0.00175908247868161,-1110628866.7371,0.079,407282477.38417,-0.0045203756466512
"1993-11",-0.0575910485097436,12.4,0.0877782775604601,-58.1,269604123.814947,-0.00959785354540701,-0.0608926561821377,-145.5,43919978.5962114,0.883215201186092,0.974539816183394,157,-0.0419992462957692,25.0000000000001,-0.0239801692966166,1349879377.8164,759.9,5.12130345848849e-05,0.0772210139775996,1514434932.09612,0.06,521956530.18196,-0.00381764404840801
"1993-12",0.0674494444005236,0.100000000000009,-0.24641510709374,84.2,395802546.254887,0.0214537901961204,0.195231512357386,49.1,123532834.130731,0.895242941825552,0.873920320849731,180.2,0.0576413955230105,-12.8,0.179413759573365,612844936.824398,460,3.11875179481724e-06,0.0504241888578325,951128101.22355,0.07,775670283.7467,0.064415891350073
"1994-01",0.0455796946598949,7.3,0.19933528901813,209.9,447542476.518237,0.00154193686087893,-0.119619067393706,149.5,-10072453.5057634,0.915700394466912,1.07190864329456,-14.9,0.101764813078204,-8,-0.101738133217332,2904051962.7368,700.1,1.05486911361474e-05,-0.0439908671518586,-506699250.69534,0.047,354089670.38869,-0.0283149129519668
"1994-02",-0.0367298294795674,20.3,-0.19634610551175,86.9,639901347.848469,0.0423672945607089,0.183379191613974,192.4,184618919.870334,0.907241172478408,1.03759622267561,21.9,-0.00633426378635876,-21,0.0265254131770713,3192581296.6059,622,5.35469289046908e-05,-0.0429143248084793,680514588.07985,-0.084,-251683729.95513,-0.205235487114182
"1994-03",-0.0269704013577298,56,0.0740694763544796,109.5,1079578066.16654,-0.00973736916688399,-0.0578197493683822,110.5,255279008.447304,0.954937294186238,0.836473819922044,-30.5,-0.0712791634567416,21.9,0.152023182276318,3650669322.1856,752,0.000131564201562018,-0.0366361707935781,-762990685.37101,-0.062,-133729166.25659,0.103775768241168
"1994-04",0.0426892293195671,-7.40000000000001,0.0631774664118903,-36.6,1707694435.49292,0.102845524708812,0.0589874743224224,32.9,278787639.323236,0.940489906320054,0.989504515743092,-85.7,0.0942487891611575,-34.4,-0.0749810131716976,4249255610.4778,473.1,0.000231726322504677,0.0294467703575211,1089239539.0527,0.022,-1330711019.16129,-0.218519220717239
"1994-05",0.141075445588375,69.3,-0.23626260043113,65.8000000000001,2603606289.60411,-0.0259899272769285,0.144170311281438,147.2,768581758.643138,1.01470490788166,0.996537815369336,-76.1,-0.0875097965887465,71.5,-0.0939499104586104,5638191763.4766,769.1,0.000346854890647119,0.119858007202983,1551988205.19062,0.061,-1101553031.30864,0.0278054347716343
"1994-06",-0.049791883034659,98.8,0.0696383649739702,125.1,3045385293.7989,-0.0457453500940646,-0.0924764627207079,109,263220455.036411,1.02168012006428,0.94072692162372,99.1,0.0216337351036216,-23.8,0.0822446207136462,4858623639.1324,666.400000000001,0.000467922739887827,0.0395636721023869,-631008716.06697,0.147,-618357281.42981,-0.122015745797391
"1994-07",0.0189023244096466,27.7,-0.00664187783324022,199.2,3394610054.90178,0.00972883363118189,0.014467129039891,58.4,231930276.903447,1.0406806049166,0.89237937438444,-20.2,0.0200393142841666,3.70000000000005,0.0753032528610683,4147413782.8413,530.5,0.000579283641476191,0.0340453675797089,2468039515.57503,0.164,-868808109.25555,0.128203665854825
"1994-08",0.0572571423405751,60.4,0.0792616504803501,168.8,3724190427.22892,0.0716805953983424,0.0148488533097408,85.5,140934131.345312,1.00240575615813,0.922583922116993,-133.1,0.0865982575380209,34.6,0.0510240315525899,7191177275.6946,1197.8,0.000651929557082376,-0.00404717273773791,753527373.810352,0.245,-732315886.52796,0.115746293277352
"1994-09",-0.028903217220866,74.6,0.0480556064214699,155.8,3434450282.32254,0.0409811400853257,0.00855421262637514,126.6,-233680776.921024,1.11409712693546,0.886496827923756,-15.3,-0.0166230861649146,-17.6,0.0234077568107274,5188005779.3167,903.8,0.000691154178083186,0.0315243892055602,147561639.96405,0.291,-556234988.19396,0.0956835398403093
"1994-10",0.0643507006797209,23.6,-0.29642769473969,199.6,3038686689.0897,-0.0220637732832968,0.210540027976996,87.8000000000001,380697352.455796,1.03274377805201,0.883854949909543,17.3,0.101069054396948,39.6,0.104360194110812,6824399830.9766,833.1,0.000694658404688075,-0.0532580701363741,194541406.991268,0.232,-300095085.33036,0.0734696770529244
"1994-11",0.063518824403244,39.4,-0.263277080698792,523,2838196197.47562,-0.0177914765417224,0.245275239449194,55.5,724193048.885501,1.17803883502191,0.923404929207542,-100.1,-0.0619677323821512,-75.1,-0.102144209236113,8114845552.9237,1155.1,0.000659407232547204,-0.0350217989006614,-115582636.545681,0.216,-375428243.90475,0.056315252666997
"1994-12",0.0220055974188305,49.7,-0.109708047021639,236.5,2744202761.61213,-0.0227124970888555,0.10006092891535,48.4,253074799.8515,1.21093790061979,0.897296085579103,-146.5,0.064551956747795,-3.20000000000005,0.09552748536067,10054849910.0053,973.2,0.000584132085182487,-0.0181707819040394,3754839456.18555,0.201,-711281093.76996,0.0498106231148734
"1995-01",0.0671033036426174,-1.09999999999999,0.10348226936512,205.6,2059561403.19553,-0.0514346540808435,-0.151929015474446,118.6,-1053563904.18072,1.53364717288881,0.959255147810072,30.2,-0.0140845229993006,38.9,-0.0777655973551889,17653099320.7721,1225.9,0.000480337569017442,0.211923686265146,540662853.45779,0.176,-59465854.2421002,0.0271952885624589
"1995-02",0.0142434452475369,27.7,-0.195573676526389,398.7,1820139331.04353,0.04399978861347,0.305367316972598,64.6999999999999,408309800.493554,1.1538053288428,0.867970826161016,39.4,0.0307095382084821,-30.8,0.139109058303781,12938900874.5602,1173.6,0.000350098468268056,0.0277576122106459,3363091300,0.242,520216893.9818,0.0279203706597617
"1995-03",0.0792954602112975,-11.8,0.0478932775321419,519.1,2263332467.93622,0.0566649013166123,-0.00437464894643812,4.30000000000007,559158230.025448,1.24996781612117,0.883065188885789,102.2,0.0630773646026117,-39.1,0.0449060273697906,21459882361.501,1273.8,0.000204466611474885,-0.00198380495780691,6271947300,0.248,490816338.10238,0.0974365932462582
"1995-04",0.0163248629219675,58.1,-0.010672206200959,553.5,1336345930.73552,-0.0690270037631996,-0.0568870395810284,2.5,-975010557.507144,1.12303455169178,0.997873707511162,84.1,0.034005848885359,16.1,-0.0849597866123284,10401900129.1927,899.8,5.87330393868601e-05,0.0207949873594297,-492688300.000004,0.231,1431595370.19956,-0.034680568699612
"1995-05",0.0265861313714753,7.80000000000001,-0.014423237229426,438.9,1121844005.35836,0.0778016014432275,0.097136845607776,-36.6,117023510.2439,1.16015525571742,0.838648807730134,94.8,-0.0635617184973666,5.59999999999997,0.11422937850179,14155015344.1728,1272.3,-7.72556721392315e-05,-0.0543693886005818,-3112984400,0.238,1149194932.16544,0.0981930819826289
"1995-06",0.000980598714117652,-31.5,0.000336799249429975,400.4,652791822.034,-0.00422225332135972,-0.00463921844380727,-29.5999999999999,-202716125.84177,1.1952307451985,0.869277796039957,-34.6,0.0406743939061417,-4.30000000000001,0.00400624939527204,14070910332.2711,1069.3,-0.000189607883249288,-0.0100542383023819,-394554800,0.177,1264169001.08395,0.0196475876453053
"1995-07",-0.104029889738794,3.59999999999999,0.147106662957863,144.4,232147340.37,-0.022620139188536,-0.17373815425718,-52.9,-1016271795.238,1.06968978476125,0.839859511683812,186.5,0.0313063198801048,13.6,0.0674305313160102,11554473569.2538,1159.1,-0.000300335208233471,-0.0209444270204746,-6357759400,0.208,1263883282.51296,-0.023883459497715
"1995-08",-0.0223472305535219,25.3,0.0369379175678239,258.2,444115908.762,0.0660845386939314,0.0262423797447062,28.5999999999999,334426983.243001,1.06186694522819,0.83832600872494,123.9,-0.0224795282073825,-4.09999999999991,-0.0206914045893026,16122451369.3239,997.8,-0.000407251193447311,-0.0275879701061986,-2085525900,0.247,1297814831.48414,0.0856697927851837
"1995-09",0.0064874567973744,-34.4,0.102615603925676,210.6,370840634.337,0.00232270287747318,-0.0919531505429138,-146.9,-477656973.498001,1.03871005407944,0.805329989708107,155.2,-0.0503295418843002,-4.39999999999998,-0.0114195982634653,16049388228.8503,1012.1,-0.000504446382954327,0.0472431874365095,738286027.999998,0.133,1206144156.85973,-0.00290989389162821
"1995-10",-0.0166552021698231,27.8,0.0394048579431998,155.7,978229212.162,0.0627317146266952,0.0256855293595127,-25.7,-12184491.585,1.07505970645516,0.914941902728924,99.7,0.0490675086267157,-28.1,-0.076612926563305,20037358771.4919,1135.8,-0.000588846531948239,0.0338619162489541,2243652242,0.169,1163774282.4698,-0.0108204733848369
"1995-11",0.034904043223367,-11.4,-0.0621380187246698,49.3,781495283.178,-0.0346434321652381,0.0215091524095734,97.6,-693777394.558,0.988061494050813,0.870703317137876,69.1,0.105391064806558,37.3,0.161553636223845,22856693809.8437,747.700000000001,-0.000651032835694232,0.00305308495077852,1191464230,0.158,1323609583.05271,0.0608679732574333
"1995-12",0.0497799833867766,-24.7,-0.0446919658079801,3.5,594525148.472,-0.0417592650672802,8.04771959768565e-05,125.8,-561992749.784,1.0690934869044,0.954469008910613,51.5,0.0501392915442299,-50.1,-0.0420225737365872,19881524978.9292,639.5,-0.00067239858031698,-0.0281911047581143,-3968571320,0.17,1465960638.79825,-0.0226424315871706
"1996-01",-0.0218634750773485,73.6,0.07864119192846,-23.5,861894379.319,0.00587627619817925,-0.0658919351900651,-63.8,610758930.057,0.995365005288204,0.761658185437152,50.4,-0.127626637172796,26.4,0.0932113051995889,13528858346.9834,885,-0.000657669956323326,0.0411187483878027,-8235429480,0.146,1063154027.69977,-0.0049938630830908
"1996-02",-0.00676120135797243,3.30000000000001,-0.123549328712723,-36.9,857631999.173,-0.0245990129186716,0.0985393828566058,-0.899999999999977,-577321977.513,1.020727021545,0.830617497351575,44.3,0.00474427398670163,-8.5,-0.0786713463258959,18012360026.8011,795.2,-0.000616965829670635,0.0997694025437325,1494513400,0.14,583981874.69539,0.0292899224626206
