"","EXP6021","XTEXVA01ILM667S","XTIMVA01ILM667S","XTEXVA01KRM657S","XTIMVA01KRM657S","KORXTIMVA01NCMLM","IMPKR"
"1988-02",-2.98562628336755,0.0554188105516975,0.0707037183796413,-0.0171969287961438,-0.0238896606223695,437011136589.3,337.3
"1988-03",-0.225439503619442,0.141631117913206,-0.0255220014066639,-0.0154499352401615,0.0249936685238284,483289124755.76,234.8
"1988-04",-0.448598130841121,-0.135883991545205,-0.0529228370287701,0.0115232791745823,0.025631862306916,299899038562.53,248.3
"1988-05",-0.397094430992737,0.00641514859692349,0.0148369129022086,-0.0145546589502713,-0.00537353259002192,19004904761.8999,148.1
"1988-06",2.15261044176707,0.0184344186502226,0.164934618953273,-0.00796300331913578,0.0297193661488919,198040093114.36,47.0999999999999
"1988-07",0.333757961783439,-0.0243293865072172,-0.101854671280575,0.112765499398279,0.0689182358586054,318598378378.6,-31.3
"1988-08",0.257879656160457,-0.0134344327842255,-0.039795382124637,0.0456901715124689,0.0429990445953086,659058792801.43,346.4
"1988-09",0.0402429764616554,-0.12332062240311,-0.113095617693118,-0.0475294267880662,-0.0466710214656468,142618126825.22,450.6
"1988-10",1.54452554744526,0.248998432976764,0.324393817498898,-0.0184358722430856,0.0176953068325124,452119239597,159.1
"1988-11",-0.612736660929432,-0.128603832441482,-0.172724659956012,0.0843829816867813,-0.0234966747621547,151176436743.11,321.7
"1988-12",1.61851851851852,0.158511273939879,0.0466452721991075,-0.0221361756247524,0.00486464451978212,-51434280391.0898,403.9
"1989-01",-0.493352192362093,0.0138714381495364,-0.0209205326724247,-0.00419705979205638,0.0468913101070254,136373289874.47,78.5999999999999
"1989-02",-0.14070351758794,-0.031695381354931,0.0760135857821915,-0.0587610780844345,-0.000783641472158664,127831386108.12,-73.3999999999999
"1989-03",0.0695256660168939,0.0849387452551422,0.0652025144198947,0.0380218424309574,0.0545684610113891,392777409220.93,195.4
"1989-04",-0.117861482381531,-0.0232480462960984,-0.0733195990629497,-0.0522350194831975,-0.0127866485919144,65247455581.4702,9.10000000000014
"1989-05",-0.0275482093663916,-0.0417444417197506,0.0134630183800553,-0.0205424235212651,-0.0141637294984711,240189191703.74,96.8000000000002
"1989-06",0.343484419263456,0.0558294340450465,0.0654452234465839,0.0334373354560301,0.0705019407420934,426492494796,26.8
"1989-07",-0.379019504480759,0.000768182312771204,-0.140023828820996,0.0455096898895624,0.0174195617150158,152724282497.43,15.5999999999999
"1989-08",0.19439728353141,-0.0607585128158806,0.0160611356515938,0.0253334804363182,0.0720722261043052,333253372118.46,-186.9
"1989-09",1.23596304193319,0.143531069482518,0.254401484959194,-0.0158893284849014,-0.0679816403747069,175766222457.55,-133.3
"1989-10",-0.952638270820089,-0.0278569652564098,-0.227101678383731,-0.041002567477258,0.0334786297958965,403174600798.01,83
"1989-11",-2.04026845637583,-0.0327708500669087,0.235306538547398,0.0490754269634588,-0.0362807970015838,479090012828.54,-33.6999999999998
"1989-12",11.1161290322581,0.0157263005605948,-0.0131668531107734,-0.00968286987617645,0.00623120445562398,448388395183.58,-446.6
