"","LRHUTTTTMXM156S","MEXLOCOEMORSTM","LMUNRLTTRUM647S"
"1992-09",-0.002,-0.00454343133144072,321793.369571322
"1992-10",0.002,-0.00728549644847355,390831.812489437
"1992-11",0.007,-0.00712482589923671,455643.220936437
"1992-12",-0.005,-0.00948129786600576,514431.749787528
"1993-01",0.002,-0.00669254529177046,559649.716102842
"1993-02",0.005,-0.0027426760058693,597258.14307012
"1993-03",0,-0.00412956737043649,611220.978232497
"1993-04",-0.005,-0.00476227678899328,598291.027396457
"1993-05",0.003,-0.00434556571138844,563560.502056371
"1993-06",-0.001,-0.0175466696295844,513596.017129731
"1993-07",0.001,-0.0075137715051902,469744.070498145
"1993-08",0.007,-0.00876920120586102,418010.181609832
"1993-09",-0.003,-0.00717556072225426,341246.789113353
"1993-10",-0.003,-0.000903845011192452,286286.33948741
"1993-11",0.001,-0.00456124518847004,263140.332813827
"1993-12",0.001,0.00383649616817094,257295.902489416
"1994-01",0.001,0.00397084486940361,266329.531241822
"1994-02",-0.001,0.000992831536558978,295493.181571738
"1994-03",-0.001,0.000509294819236816,354197.191336525
"1994-04",0.001,0.000667228495657996,426161.614871903
"1994-05",-0.003,-0.00189177160319969,480633.113959868
"1994-06",0.001,-0.0088363995512652,540774.533309382
"1994-07",0.001,-0.00338278115423707,609127.05947408
"1994-08",0.001,-0.000864797414504621,676845.477831508
"1994-09",0,-0.00143840219796402,721976.287809936
"1994-10",0.003,-0.00433514214537913,747150.47319588
"1994-11",0.00199999999999999,0.00101147640180533,773006.15014512
"1994-12",-0.000999999999999994,-0.00512332069753831,798805.385252239
"1995-01",0.004,-0.0252233839785482,818897.950095016
"1995-02",0.00699999999999999,-0.0153326244332335,845764.862514532
"1995-03",0.005,-0.0176232721961125,837351.74102576
"1995-04",0.005,-0.0139250686549794,804194.52796305
"1995-05",0.004,-0.00862035807306406,773493.0783866
"1995-06",0.002,-0.006867441798653,744814.76214026
"1995-07",0.001,-0.0128700833788594,724424.93122399
"1995-08",0.00799999999999999,-0.00455314699297474,705678.40154758
"1995-09",-0.00899999999999999,0.00404503008547958,679906.06918697
"1995-10",-0.001,0.00219956007825619,668684.28429259
"1995-11",-0.002,0.00892529608842142,678115.00211084
"1995-12",0.002,0.0071173055958397,690274.38951281
"1996-01",-0.004,0.0111513744205627,705466.84115302
"1996-02",-0.001,0.0036978862527513,728174.86915521
"1996-03",-0.003,0.00101006152706985,752789.6197294
"1996-04",0,0.00494962437085857,785011.61790519
"1996-05",-0.00399999999999999,-0.000632397879650886,700949.59465104
"1996-06",0.00199999999999999,0.00248834082856025,601843.32247584
"1996-07",-0.00199999999999999,0.00205171649709552,509828.87006723
"1996-08",-0.00100000000000001,0.00337197160265413,427809.4984877
"1996-09",0.00100000000000001,0.00604729895818978,368189.39749331
"1996-10",-0.004,0.00942352828531963,308306.89368917
"1996-11",0.000999999999999994,0.000659493358691611,234969.71793999
"1996-12",-0.00699999999999999,0.00789165230754402,176759.75725291
"1997-01",-0.00100000000000001,0.00409658043647652,97775.0953768701
"1997-02",-0.005,0.0036377898707729,-15415.1425252696
"1997-03",0.003,0.00487687030760714,-125272.75024834
"1997-04",-0.000999999999999994,0.00406859320734186,-247887.52027314
"1997-05",0,0.0023461134918506,-280719.7033228
"1997-06",-0.004,-0.000363100392061972,-305566.43783912
"1997-07",0.004,0.000869981921681123,-338958.50877514
"1997-08",-0.004,0.00416956888872748,-374386.37508813
"1997-09",-0.002,0.00262081140857801,-406963.6194567
"1997-10",-0.001,0.00677135858632302,-437443.08131325
"1997-11",0.001,0.00459436803595673,-465164.89595908
"1997-12",-0.003,0.00354067275675748,-507897.06057593
"1998-01",0.004,0.00710564913158606,-547073.08425267
"1998-02",-0.001,0.00257353824506803,-571508.87185078
"1998-03",-0.001,0.00362648873742491,-590444.96889053
"1998-04",-0.002,0.00266239490768717,-583063.12670582
"1998-05",0.002,0.00332261893694242,-546692.14724194
"1998-06",0,0.00196154232619359,-504954.36178273
"1998-07",0,-0.00338378251973097,-450441.40050994
"1998-08",-0.002,0.000835600485706544,-394112.98886927
"1998-09",0.001,0.000500077729067472,-308375.24950943
"1998-10",-0.001,-0.000559541126122868,-202665.90073937
"1998-11",-0.001,0.00228502016731911,-125590.75237613
"1998-12",0.001,-0.00157622206397418,-70177.14727136
"1999-01",-0.005,-1.71126582727125e-05,-34827.5550780999
"1999-02",0.005,-0.000242512303368737,-26689.7372325198
"1999-03",-0.004,0.00152098178344025,-41953.3051509699
"1999-04",0.000999999999999994,-0.0022810376540783,-88613.8268774797
"1999-05",-0.00199999999999999,0.000209482003230801,-136763.00689177
"1999-06",0.001,-0.00316826175216457,-196826.81163539
"1999-07",-0.004,0.00750424660294406,-268403.27137642
"1999-08",0.002,0.00176346053019116,-331058.49656791
"1999-09",-0.002,0.000502934931422863,-416082.54060118
"1999-10",0.001,0.00153854073651981,-524175.16685571
"1999-11",-0.001,0.00423549294767459,-609232.05674277
"1999-12",0.001,0.00441621642473117,-665474.22498979
"2000-01",-0.001,-0.00186555632289415,-704425.94278256
"2000-02",-0.002,0.00199063213790707,-726576.25305574
"2000-03",0.001,0.00052540194464499,-717846.44163379
"2000-04",0.0059206788,-0.000328735430161183,-696166.70100115
"2000-05",-0.000694208049999999,0.00121704278269186,-658793.10518401
"2000-06",4.43109000000316e-06,-0.000148538207180517,-586666.77726799
"2000-07",-0.00265633028,-0.00183610677547613,-510596.57966817
"2000-08",0.00271702792,-0.0013763596672358,-438201.19471475
"2000-09",-0.00109901931,-0.00251471988346384,-371458.18502739
"2000-10",-0.00131556917,-0.00239889746107546,-313118.24973177
"2000-11",-0.00128421917,-0.00276655809740161,-262361.91123749
"2000-12",0.00187962038,-0.00270174178608248,-226088.65869519
"2001-01",-2.25337000000006e-05,-0.000826039206856512,-182922.33773109
"2001-02",0.00664063481,-0.00774968776984809,-136627.19735295
"2001-03",-0.0054515692,-0.00546316410527216,-98173.6027287099
"2001-04",0.000395773350000003,-0.0065634015836145,-58379.7488743999
"2001-05",0.00076670283,-0.007926485915878,-25193.1188092299
"2001-06",-0.000425173740000003,-0.00375067461383938,-6063.25584900007
"2001-07",0.000826055040000002,-0.00847048959764996,14391.30208604
"2001-08",-0.00513050492,-0.00680393010631342,27491.15581868
"2001-09",0.00196602727,-0.0026455100444022,29471.3950887001
"2001-10",0.00359486129,-0.00647360357684969,43721.49802287
"2001-11",0.00133152961,-0.0027470584499944,65265.6363237499
"2001-12",0.000897437390000002,-0.00430938418519097,86018.2740053398
"2002-01",0.00273963844,-0.00842517511852644,124146.74871105
"2002-02",-0.00324838973,-0.00238660384426205,153681.54063768
"2002-03",-0.0001308153,-0.00251088909939481,168211.27880345
"2002-04",0.000301515370000002,-0.00121808638931641,191628.83943704
"2002-05",0.00076577089,-0.00422890620337147,199213.03246822
"2002-06",-0.00089559212,-0.00444471148274474,200520.65107585
"2002-07",-0.0013188267,0.000697790397509376,200881.65849577
"2002-08",-0.00130086989,-0.00279428546993868,197664.04885594
"2002-09",0.00108935513,-0.00378867486870171,193181.55738755
"2002-10",-0.000913982010000002,-0.00212708322509484,185922.00385996
"2002-11",0.00205824192,-0.00488343840087348,186165.45555139
"2002-12",-0.00271645286,-0.000169366890027386,183430.18471608
"2003-01",0.00160894207,0.00701979932405976,375635.0600592
"2003-02",0.00090361416,-0.00767553722613971,369764.08561917
"2003-03",0.00143528111,-0.0067058385235477,359493.01964301
"2003-04",-0.000324087999999997,0.000487097579263037,348767.61610279
"2003-05",0.00100452229999999,-0.0086749301070135,342709.44938648
"2003-06",0.000754774630000003,-0.00498926209114607,330731.57671051
"2003-07",0.00308936406,-0.00522857525213417,324310.77306342
"2003-08",0.000883264240000001,-0.00534768131074313,319025.13932732
"2003-09",0.00151708823,-0.00621156099566896,316406.90104702
"2003-10",-0.000466700040000004,0.00151964911555797,315153.94639381
"2003-11",0.00265593854000001,-0.00260031680015931,319554.24795392
"2003-12",-0.00632778981,-0.00148578093045361,328901.18469338
"2004-01",0.00375250681,-0.00883620070348155,89370.5234331102
"2004-02",0.00266042306,0.00279146892871267,50201.69325896
"2004-03",-0.00122103317,0.00131869427938075,32695.8417863601
"2004-04",0.00065912009,-0.001744451434408,14020.41476891
"2004-05",-0.00103640525,-0.00459083977484208,8696.89727084967
"2004-06",0.000743681649999994,-0.00325277023594649,22431.1915356901
"2004-07",-0.00163315511,-0.00209940219854967,37911.1668168299
"2004-08",0.00202929636,-0.000940324394570525,61307.68988281
"2004-09",-0.00154209393,-0.005270225148265,126037.00462197
"2004-10",0.000562264600000001,-0.000491655672271318,199121.00105476
"2004-11",-0.000314790459999999,0.00818424189338164,277145.33523778
"2004-12",0.00166035514,-0.00259355510047499,278061.24033196
"2005-01",-0.000562192703526004,-0.000529298954583489,302891.03133836
"2005-02",-0.0032026656041069,-0.000441556453282331,343546.39269089
"2005-03",0.0011304926250741,-0.00138090044919532,339715.6595348
"2005-04",0.0003770262685409,-0.00200826716016076,323774.97551802
"2005-05",-0.0015704993238876,0.00168385639561767,290821.03523129
"2005-06",0.0017637067952264,-0.00601041630315861,257603.64128484
"2005-07",-0.000633367551132399,-2.88315155936855e-06,225458.36722432
"2005-08",-0.0034072940009644,0.00128293738761889,170377.03579299
"2005-09",0.000394393069640495,0.00166639315555777,81427.7375889502
"2005-10",-0.000414627168111394,-0.00261819512612568,-18839.42962785
"2005-11",-0.002429134206269,0.00384634883657363,-100666.6494454
"2005-12",0.000105434162956296,0.00703290353278112,-88109.7971312001
"2006-01",0.0014644001920751,-0.00155872248956202,-100852.54519034
"2006-02",0.0028142555540634,0.00222624514574902,-109887.14569229
"2006-03",-0.000251965221207004,0.00260720874272755,-94309.03262185
"2006-04",-0.0018616331959577,-0.00158579719420785,-94445.5125762499
"2006-05",-0.0021627215472424,0.00408370218514824,-91002.8402018899
"2006-06",0.0030492395196243,0.00309286656217609,-85324.84436439
"2006-07",0.00133655308628969,0.00326105509128483,-79550.05657931
"2006-08",0.001588955113378,-0.00364699565416834,-62002.17726399
"2006-09",-0.000900979156098103,0.00378663991191694,-59625.1425416002
"2006-10",0.000443577018271898,0.00105342733193574,-54712.5873485799
"2006-11",0.000588712600160704,-0.00273763342727226,-63155.4028065801
"2006-12",0.000795241686767097,0.00262204303943319,-82257.7128129599
"2007-01",-0.0013742310101844,-0.00265075353066238,-100670.04722769
"2007-02",0.0019128099936346,-0.00622274006505371,-154592.94137198
"2007-03",0.0022429665506862,-0.00122715254163633,-198327.43123866
"2007-04",-0.00460452848497331,-0.00126474595698661,-225871.95338183
"2007-05",-0.0012784518990715,0.00280509513274746,-222767.69010247
"2007-06",-0.0014067320906461,-0.00205000756301931,-238752.331364
"2007-07",0.00213926001863789,0.00056597573209745,-252673.94747446
"2007-08",0.000149125009250003,0.00543882311892566,-253585.6431211
"2007-09",-0.000560978220307304,-0.000977754361291367,-244010.95512681
"2007-10",0.0016414649665192,-0.000294049579462153,-211220.95994463
"2007-11",-0.001128566864055,-0.00199944764065151,-179574.74523227
"2007-12",0.0013905292563742,-0.00148048636276978,-186606.35441407
"2008-01",-4.67773254176004e-05,0.0111440352208717,-186967.20601868
"2008-02",0.000275143241899103,-6.32989272362807e-05,-171810.53209129
"2008-03",0.00196084111896899,-0.00224174308954047,-172162.76388042
"2008-04",-0.0030995487753441,-0.00627450884318973,-167877.52443602
"2008-05",-0.0016108537483908,-0.00140264333065936,-176074.71710363
"2008-06",0.001601069448458,-0.00454996358838288,-164657.03431257
"2008-07",0.0012244253948379,-0.00159811870162689,-157452.202818
