"","LMUNRRTTATM156S","LRHUTTFEATM156S","LMUNRLTTBEM647S","LFHUTTTTBEM647S","LMUNRLTTIEM647S","LMUNRRTTNOM156S","LMUNRLTTESM647S","LFHUTTTTESM647S","LMUNRLTTCHM647S"
"1995-03",0.000232507096423792,0,-0.00520413643956608,-0.0024691358024691,-8.38945089465248e-06,0.0489300768159741,-0.0073282944683446,-0.0164769322947873,-0.00807420301770934
"1995-04",5.50933815299109e-05,0.001,0.00555350116707465,-0.00247524752475248,-0.00433422426300212,0.0476408830726921,-0.00334957468386499,-0.0155345720377703,-0.00447469305289339
"1995-05",0.00122086241601579,0,-0.00496172624053282,-0.0024813895781638,-2.08225424846997e-06,0.0481152924326091,0.00607548036148819,-0.00309405940594054,-0.00426713848035232
"1995-06",7.38280780994971e-05,0,0.00442147594756492,0,0.00614397101471975,0.0503063033851629,-0.00617804638381592,0.00806952203600253,-0.0079959758814192
"1995-07",0.000477384878847506,0,-0.000822344163942779,0.00497512437810954,-0.0140558111047191,0.048715726095073,-0.00259223339187509,0.00800492610837433,0.0031609517098774
"1995-08",0.000799974729137592,0.001,-0.0022315669435764,0.00495049504950495,0.0104456037164207,0.0473413519247858,-0.00341258079700046,0.00824679291386676,0.00208753192020117
"1995-09",-0.000254450539581896,0,0.00396483292012983,0.00738916256157629,0.00544148433929048,0.046447123664442,-0.00772972126720228,0.00484701605574078,-0.00991149746808073
"1995-10",0.000666290166506406,0,0.00180995485636526,0.00733496332518335,0.00320203255818341,0.0443302646548098,-0.0130572797727277,-0.00633102200783842,0.00847569770673151
"1995-11",0.0015440222992293,0,-0.0114452385441001,0.00485436893203883,-0.00652009903765438,0.0442517640041745,-0.00650837424375283,-0.00121359223300976,0.00278836627979451
"1995-12",0.000942060530215796,0.001,0.00794353641320622,0,-0.00072203496209422,0.0432849337838775,-0.0115069206136968,-0.0100243013365735,-0.00313391431786658
"1996-01",-0.000346020665080105,0,-0.000998184378900202,0.00724637681159424,0.000703784976066713,0.0431172026046877,0.236456636019137,-0.00184105553850877,0.00843369540248751
"1996-02",0.00194815953942511,0,-0.00967416397539733,-0.00239808153477217,-0.000717888886627716,0.0432901746435564,-0.00388376022133885,-0.00676298801106667,0.0129775463716237
"1996-03",0.0014988098059693,0,0.0026380193008485,-0.00961538461538458,-0.00530086092306603,0.0428438865737066,-0.00393296801564602,-0.00340451872485303,0.0171224075454242
"1996-04",-0.00123417175617239,0,0.00184516856861927,-0.00485436893203883,0.00671766694051468,0.0433726698553275,-0.00985616307595472,-0.00496894409937887,0.0180975181448939
"1996-05",-0.000982055347695104,0,-0.00260322294376369,-0.00975609756097562,-0.00565685185416342,0.0436982755311805,-0.00817956760480809,0.000936329588014928,0.0174035514412996
"1996-06",-7.08784761239978e-05,0,-0.00373616107706298,-0.0147783251231527,0.00317597483831789,0.0425610194694075,-0.003496036306324,0.0109136264421579,0.016008147384726
"1996-07",-4.09646007085013e-05,0,0.00871013765741135,-0.01,-0.00599846621276034,0.0424779831454997,-0.00498216920268779,-0.00308451573103019,0.0144834457756116
"1996-08",0.000200823316509405,0,0.000207648615611067,0,-0.00037548263392817,0.0409886119003407,-0.0108780066015891,-0.0148514851485149,0.0153120692001396
"1996-09",0.000151383526026894,-0.001,-0.00625071840104552,-0.00757575757575757,-0.00144923585745693,0.0402558722845819,0.000577986152022092,0.00157035175879394,0.021549488651263
"1996-10",0.000175792801011404,0,-0.000191599904349249,-0.010178117048346,-0.0186793493245107,0.0388095824210608,-0.00442672032571834,-0.00972091564753841,0.0329429616150323
"1996-11",-0.000572989316990596,0,0.00819491114958992,-0.00514138817480725,0.01810431161712,0.038661165106551,-0.00722628140349291,-0.00949968334388851,0.0154187698119042
"1996-12",-0.000663199666099901,0.001,-0.00554275519243153,0,-0.00449193653766577,0.0379235564640999,-0.0123416950796249,-0.0102301790281329,0.00992549083591676
"1997-01",0.0016162086103967,0.001,0.000682499453224739,-0.0051679586563308,0.000615807434338977,0.0366298169004203,-0.00657953113728194,-0.0132428940568475,0.0332696087670643
"1997-02",-0.000851657177957307,0,0.0042367532726566,-0.0025974025974026,0.00290988971093975,0.0355915174005961,-0.00151903791121633,-0.00425531914893618,0.00793233023927287
"1997-03",-0.000464536609395896,-0.001,0.000765341144856491,0.00260416666666674,0.00718817473140809,0.0358510668428551,-0.00754971615584266,-0.00723208415516108,0.00213035497298275
"1997-04",0.000954659622471307,-0.001,-0.00269669074460122,0,-0.00458423480426184,0.035123026469578,-0.00135836537796008,0.00231788079470197,0.00407106038481575
"1997-05",0.000249713964181691,0,-0.00222876071849276,0.00259740259740249,-0.0107814386751766,0.0351152864945854,-0.00292627483405261,0.00396432111000999,2.0555407099776e-05
"1997-06",0.000240558462209106,0,0.00994054721890925,0.00777202072538863,0.0110548714461987,0.0339452816330008,-0.00151286450066157,0.0108588351431391,-0.00506166495375127
"1997-07",0.000512637632797894,0.001,-0.0130342262313898,0.00771208226221076,-0.00551822836035865,0.032777136887357,-0.016272690038128,-0.0107421875,-0.0114040750974873
"1997-08",-0.000308014610416796,0.001,0.00172474125815369,0.00255102040816335,0.00464472858538856,0.03199979673487,-0.0111064490561327,-0.0141493912471208,-0.00761205180583779
"1997-09",5.77543564729555e-06,0,0.00494138915600295,0.00254452926208648,0.00155994618715494,0.0310535949733422,0.00307191618562785,0.00267022696929242,-0.0155409318241643
"1997-10",0.000303121746740007,0.001,-0.00542701363883602,0.00253807106598991,-0.000419977908011404,0.0300923058403624,-0.00824094103425033,-0.0126498002663116,-0.0338185435138344
"1997-11",-0.000186471080611303,0,0.00244137732948091,0,-0.000828378545769892,0.027545830718335,-0.00623945775008083,-0.0134861766689144,-0.0226595968429326
"1997-12",-0.000141296943793709,0,-0.000725468551311281,0.00506329113924053,-0.00286595343803575,0.0272753391046979,-0.00794609850421413,-0.0105946684894054,-0.0200815494393476
"1998-01",-0.000564002696341798,0.000999999999999994,-0.00451757566185029,0.0050377833753148,-0.00252288383426769,0.0264246631011745,-0.0167907807297665,-0.0272884283246978,-0.00702752060288725
"1998-02",0.000244913479909001,0,0.0066344899158729,0.00250626566416035,0.00152862406300758,0.0268383057337365,-0.0120453411406648,-0.0188210227272727,-0.0330233153685877
"1998-03",0.000866577863780499,0,-0.00444469838557238,0.00750000000000006,-9.10439905975613e-05,0.0258215600956136,-0.00510420895754371,-0.00398117987694535,-0.0376841775808937
"1998-04",4.97265618060183e-06,-0.000999999999999994,-0.000544913038808548,0,-0.0076685642025367,0.0247267449670055,-0.0134172614686164,-0.00363372093023251,-0.0423121907895149
"1998-05",0.000931376994226907,0,0.00198893968441782,-0.0024813895781638,0.00783405071413645,0.0242198488364994,-0.00958786221028507,0.00401167031363969,-0.0464804921694379
"1998-06",0.000377249935880397,-0.001,-0.00549043496905344,-0.0074626865671642,-0.00181897125547714,0.0241278981064337,-0.00719138772573602,0.0108972030512169,-0.0466914610173903
"1998-07",-0.000597406072264398,-0.001,0.00422947495868164,0,-0.0027513166299642,0.0238035266469433,-0.0165676883913733,-0.00862378727991375,-0.0428856765145419
"1998-08",-0.000499744048827203,0,0.0103618044241038,0.0100250626566416,-0.000642016914266241,0.023816930537408,-0.00886562612255248,-0.00543675244653863,-0.0379912172052697
"1998-09",0.000300966295366897,-0.001,-0.01270762597084,0.00496277915632759,0.00338302122895218,0.0227739629201136,-0.00901539671746077,-0.00838192419825068,-0.0323985205299874
"1998-10",-0.000631605870040297,-0.001,-0.00522360777454978,-0.0172839506172839,-0.000128028278476466,0.0235218159517553,-0.013136520717997,-0.0143329658213892,-0.0260318381961582
"1998-11",-0.000839544898470199,0,0.00801080831422052,-0.0125628140703518,-0.00289340646168268,0.0229540377809883,-0.015265863498052,-0.0186428038777032,-0.0201947439018332
"1998-12",-0.000176780198291301,-0.001,0.00240294297167742,0,0.0114701310810683,0.0239707053223283,-0.0116718935359605,-0.0186170212765957,-0.0164363882198842
"1999-01",-0.00138952490620931,-0.000999999999999994,0.000606571683613222,-0.010178117048346,-0.0135910138513488,0.0253286328602862,-0.0152386896492823,-0.0375532326751838,-0.0169344445399089
"1999-02",0.000670336969127397,0,-0.00475119464659435,0.00771208226221076,-0.00360655737704918,0.0248465615546002,-0.0105668475671129,-0.0345937248592116,-0.0219456558788313
"1999-03",-0.000845890066633201,-0.00100000000000001,0.00569725512920627,0.010204081632653,0.00445092322643348,0.025771947575471,-0.00586397823363027,-0.02375,-0.0280051470851056
"1999-04",0.000178159970620012,-0.000999999999999994,-0.00843740315152786,0,0.00271590796803844,0.0256892842816417,-0.00613352846606341,-0.0204865556978233,-0.030926508172909
"1999-05",-0.001881530662536,-0.00100000000000001,0.0102246467852354,-0.00505050505050508,0.00683316880552809,0.0242833888047306,-0.0102287917080254,-0.00958605664488021,-0.0301204819277109
"1999-06",-0.00075934509471709,-0.000999999999999994,-0.00683944849525087,-0.0329949238578681,-0.0131146881287726,0.0253181741812781,-0.0042200194111538,0.0087989441267049,-0.0279747640240622
"1999-07",-0.000294065712137109,0,0.000577379650191667,-0.047244094488189,0.0103967394108239,0.0257875282802972,-0.0156668439704241,-0.00261665939816835,-0.0259522012578617
"1999-08",-0.000753211812038704,0,0.00416459516115919,-0.0110192837465565,-0.00680196850915937,0.0266655242819448,-0.00456736157765902,0.00306077831219942,-0.0263440638042894
"1999-09",-0.000586027664742889,0,-0.00959788887530233,-0.0389972144846796,0.000280821063156411,0.0258446710762536,-0.0048930937340036,-0.00217959895379249,-0.0286165991129597
"1999-10",-0.00118636588975631,0.000999999999999994,0.00767202071657125,-0.0173913043478261,-0.00930732859592021,0.0266252379527487,-0.00974050341140775,-0.0100480559196156,-0.0304427137379982
"1999-11",0.000267230261153398,0.00100000000000001,-0.00373445121711757,-0.0147492625368731,-0.000617689025686041,0.025960295125014,0.000186037941901196,-0.00132391879964699,-0.0305198170388229
"1999-12",-0.0013210010364909,0,0.00163858205722323,-0.0179640718562875,0.00552326081137167,0.0258787540257339,-0.0094768686460831,-0.0114891736632788,-0.0296793836356664
"2000-01",0.000149207053485104,0,0.000750723200247494,-0.0274390243902439,0.0076202462197501,0.0270414535011315,0.00357214014509055,-0.010281627179258,-0.0246230493778369
"2000-02",-0.00120680467597621,0,-0.0026954219174784,-0.0282131661442007,-0.00304312441589982,0.0267266912104093,-0.00691629825234141,-0.024390243902439,-0.0326117652836954
"2000-03",-0.00116240257525909,0,-0.0042096368594301,-0.0258064516129032,-0.00846568059436992,0.0257922360558317,-0.00812840712370422,-0.0185185185185185,-0.0290276314620432
"2000-04",-0.00158717772599261,0,0.0154159099303687,0.00662251655629142,0.0090715804394047,0.0256542337102466,-0.00707537077455567,-0.0141509433962265,-0.0182483660130719
"2000-05",-6.94751508749994e-05,0,-0.0153186494569028,-0.00657894736842102,-0.014270775031667,0.0253719379295288,-0.00549203390982156,-0.00382775119617229,-0.0268560928845335
