"","date","LRHUTTTTKRM156S"
"1990-02",0.02,2.5
"1990-03",0.03,2.2
"1990-04",0.04,2.2
"1990-05",0.05,2.4
"1990-06",0.06,2.3
"1990-07",0.07,2.5
"1990-08",0.08,2.5
"1990-09",0.09,2.6
"1990-10",0.1,2.6
"1990-11",0.11,2.6
"1990-12",0.12,2.5
"1991-01",0.13,2.6
"1991-02",0.14,2.5
"1991-03",0.15,2.4
"1991-04",0.16,2.3
"1991-05",0.17,2.3
"1991-06",0.18,2.3
"1991-07",0.19,2.5
"1991-08",0.2,2.3
"1991-09",0.21,2.4
"1991-10",0.22,2.5
"1991-11",0.23,2.5
"1991-12",0.24,2.4
"1992-01",0.25,2.4
"1992-02",0.26,2.4
"1992-03",0.27,2.4
"1992-04",0.28,2.5
"1992-05",0.29,2.4
"1992-06",0.3,2.4
"1992-07",0.31,2.4
"1992-08",0.32,2.6
"1992-09",0.33,2.7
"1992-10",0.34,2.6
"1992-11",0.35,2.6
"1992-12",0.36,2.6
"1993-01",0.37,2.8
"1993-02",0.38,2.9
"1993-03",0.39,2.8
"1993-04",0.4,3
"1993-05",0.41,3
"1993-06",0.42,3
"1993-07",0.43,3
"1993-08",0.44,2.9
"1993-09",0.45,2.8
"1993-10",0.46,3
"1993-11",0.47,2.8
"1993-12",0.48,2.7
"1994-01",0.49,2.7
"1994-02",0.5,2.7
"1994-03",0.51,2.7
"1994-04",0.52,2.7
"1994-05",0.53,2.5
"1994-06",0.54,2.4
"1994-07",0.55,2.4
"1994-08",0.56,2.4
"1994-09",0.57,2.5
"1994-10",0.58,2.3
"1994-11",0.59,2.2
"1994-12",0.6,2.2
"1995-01",0.61,2.1
"1995-02",0.62,2.2
"1995-03",0.63,2.1
"1995-04",0.64,2
"1995-05",0.65,2.1
"1995-06",0.66,2
"1995-07",0.67,2
"1995-08",0.68,2.1
"1995-09",0.69,2.2
"1995-10",0.7,2.2
"1995-11",0.71,2
"1995-12",0.72,1.9
"1996-01",0.73,1.9
"1996-02",0.74,1.9
"1996-03",0.75,2
"1996-04",0.76,2
"1996-05",0.77,2
"1996-06",0.78,2.1
"1996-07",0.79,2
"1996-08",0.8,2.1
"1996-09",0.81,2
"1996-10",0.82,2.1
"1996-11",0.83,2.2
"1996-12",0.84,2.3
"1997-01",0.85,2.4
"1997-02",0.86,2.6
"1997-03",0.87,3
"1997-04",0.88,2.7
"1997-05",0.89,2.6
"1997-06",0.9,2.4
"1997-07",0.91,2.4
"1997-08",0.92,2.4
"1997-09",0.93,2.5
"1997-10",0.94,2.4
"1997-11",0.95,2.9
"1997-12",0.96,3.1
"1998-01",0.97,4.1
"1998-02",0.98,5
"1998-03",0.99,5.8
"1998-04",1,6.5
"1998-05",1.01,7.1
"1998-06",1.02,7.5
"1998-07",1.03,8.2
"1998-08",1.04,8
"1998-09",1.05,8.2
"1998-10",1.06,8.1
"1998-11",1.07,7.9
"1998-12",1.08,7.9
"1999-01",1.09,7.6
"1999-02",1.1,7.4
"1999-03",1.11,7.2
"1999-04",1.12,7
"1999-05",1.13,6.8
"1999-06",1.14,7.3
"1999-07",1.15,7
"1999-08",1.16,6.4
"1999-09",1.17,5.7
"1999-10",1.18,5.4
"1999-11",1.19,5.2
"1999-12",1.2,5.1
"2000-01",1.21,5
"2000-02",1.22,4.9
"2000-03",1.23,4.6
